ID,Text,
1,I could do a whole talk on the question of 'Is #AI dangerous?' My response is that AI is not going to exterminate us. It's a tool that's going to empower us. @etzioni #ArtificialIntelligence #MachineLearning,
2,Is #Ai dangerous / hazardous? #usfbaforum Yes. Always ask why first before applying. Mental Model: Ai is like Chess - self learning on raw data, no Feature Sets. Chess itself is not dangerous; features of Chess are. - Hsinchun Chen Arizona U #Ai
