ZipCode,RMSE
72958,113.73160105299607
50435,157.30239034892475
73772,169.25475856099607
81047,186.25229343611684
81052,200.6544026373657
50501,211.27477348905265
74012,254.73895330629446
73159,255.8059181922985
27103,263.8443068817261
55949,264.8549034046899
74354,271.75812854531705
32301,285.12674893386355
71743,301.32567692671637
72206,303.45999415316976
14867,313.2142507882668
23453,334.8899973584683
14527,336.1407849702123
14847,352.3010423002896
43351,352.6385576281264
31322,377.6061053963092
24133,383.84700159444725
73160,384.51897570553757
05743,385.9703116474239
74339,396.2870846072834
38340,396.87314854190333
72113,401.9404648203532
14886,407.96197335609224
28212,410.19972335549016
31620,413.016545890321
17025,417.3872793575268
24112,423.76689574991957
53901,428.4483845743453
73848,430.65093584986005
21225,435.90738324203505
73108,453.9963349584522
73135,463.55697275518287
13053,467.2470586543671
78221,476.7099938541473
50510,477.6201763663926
74127,478.0463107972275
23424,481.92718736758985
72015,482.9322254636715
73169,483.91759654053556
49042,487.15322909588707
73539,508.096705069659
72114,509.42282170312103
37849,512.4970309578607
23603,515.7667441213754
72227,526.7842161464774
74055,527.9952989364508
73170,528.1966100320215
72065,536.9566287378217
24055,537.3056589587442
76177,543.7975397733396
72223,547.5934159308981
17307,549.8071104752798
27233,551.7285442896016
27292,557.4200648037074
20637,562.3982084444211
74107,565.8864883141418
45317,571.7551799493748
73505,584.6024487643876
51652,586.0556753884916
43316,586.1169490639226
74033,588.7592255291852
55954,591.6184113839475
22611,593.2709928789917
17314,593.6086358799894
66605,598.7609003532579
32720,599.4615951365968
66606,603.8147051150099
74522,609.6476214437421
84606,610.0365226131412
73068,612.0273059408147
25425,616.4897838417503
08880,618.0891491853074
03054,620.460570259567
45363,621.0779790822378
74021,628.7800896187827
49072,628.839684872863
63125,632.1751021806589
74369,645.1091333084204
81625,645.7633053310069
78006,649.0199374323024
27244,649.1903584910573
74133,651.9027103986307
72429,654.2874750830448
27104,659.236876886236
13068,659.6054727701949
72022,664.2385550631385
03581,670.1031252012085
27051,671.0853475890164
31419,671.1335593104889
51653,671.8544440961098
68123,671.8983618977715
50135,674.0322682603605
22967,678.2748390926573
31763,679.8903263541928
72903,680.8514749453864
29692,684.5199134122066
52310,684.5410958630647
30725,684.6955163761176
43505,686.7514881406256
72450,694.4583562864225
63114,697.5750907872379
28714,711.8680221551681
37921,716.0546687170712
42020,717.9404892025789
49091,718.1079927004819
73179,718.5444110929117
29351,720.7142575939882
31501,721.8252775091396
74112,721.84978851697
13165,722.0709178998982
03584,723.7673637857828
68005,726.7093612385231
31647,731.2255733693246
36749,732.6341464643247
05450,734.9108079360242
05042,735.6113065515123
27263,735.9884733279266
21040,739.4304690809107
33605,740.3265702594013
78660,743.1136078576524
29681,748.2723497345239
72205,754.4046841180467
74134,754.6756303053859
73442,763.3123447684512
03307,766.2205573920684
49040,771.2868529749128
23662,771.8074049942338
28081,772.9267286941337
21639,778.5308175610023
73096,778.6912036467223
21787,781.1356141319653
03590,788.0089520348695
05069,788.0957050125267
50054,788.2096574655925
74137,790.9881595407242
24087,794.0959199380562
53045,796.7151866925165
17301,803.2667120485288
34293,809.4474008458207
27045,814.1523770197875
72207,818.1787393159667
73134,818.3048746776502
04252,819.2456533720542
72104,820.1016008700344
50208,820.2306165340468
29033,820.4788358917652
74145,820.5800747085806
32226,822.3195714693059
73130,822.8922538826324
28001,823.0687758996974
45356,823.7786167992505
03103,824.9992348892257
24073,825.1601863655691
73129,825.4393796319532
29851,827.6462724294182
17310,828.2720905725755
72354,828.7821804019385
74128,829.0648499040491
17363,829.2955129610413
72365,833.453519432298
28128,834.1238762214335
30127,834.9557747032687
51601,837.555274653326
41015,837.8209207267864
29720,840.1384932293048
33431,841.9274021192604
45152,844.4825303159664
74074,845.4323857259342
29067,847.8843062280238
13062,849.1074810430604
28273,853.2207351262649
74546,854.6505378125116
32025,856.345491661578
73139,859.2287382067326
32055,864.1057186640218
34498,865.7521196707636
45066,867.074751555265
74565,868.5184784424737
34266,870.670290277209
81425,872.4955577302283
73149,873.8571322151578
22902,881.7571151808909
50569,882.7549688647862
38549,882.782241863403
37708,886.4039881474486
45853,886.9913041096704
32119,887.7893418976431
35473,887.8182097029279
37318,889.8725860910718
49060,890.9076970936171
73121,892.1349384504816
14507,897.5694238484001
03076,901.1193034574319
72434,905.8594524970936
73601,907.5538485716384
03038,913.4831245011527
50471,913.6715031147493
05257,914.9926465540956
73556,915.6187883445957
27299,921.2972388397836
17321,921.7077684307945
50317,932.8245882913966
18960,933.879837355005
05301,936.0687388726732
05867,937.6407741276763
72086,940.0702584670166
37324,940.3358488809932
41001,940.3626280996879
23462,942.3575581720735
24138,944.2366048172071
55971,945.9614678116715
78726,946.8780137541702
23188,950.5977805778908
72415,952.4560036290987
73020,953.6948913540607
81403,953.7840393495366
72118,956.4710651842586
